questid,dialognum,str,state
41,0,Do you lnow the heros who saved the world? Of course you do not. It happen long time ago. I do not much know myself.,0
41,1,I think you will eventually become great. I know. But not yet..,0
41,2,We are playing <Legend of Heros>. Come to see it sometime.,0
41,3,Oh. You are Acrobat. Sorry but this request is not for Acrobat. Go to Darkon village and find what you can do there.,0
42,0,There are many secret in Madrigal. I have lived over 1000 but there are more secret I do not know that that I know.,0
42,1,"Do you want to be strong? To become strong, you need to put that much effort, which you did not.",0
42,2,Every thing will be done as it should be. You just have to fallow it.,0
43,0,<Heros Shine> is place where guide and guard parth of heros.,0
43,1,You are not worthy enough to fallow parth of heros. I cannot guide you.,0
43,2,Only brave and strong will guide you to parth of heros.,0
43,3,"Heros, they are looking at you all the times, Fallow the parth of heros. They will look after you.",0
43,4,You are not worthy enough to fallow parth of heros. I cannot guide you.,0
43,5,Only brave and strong will guide you to parth of heros.,0
43,6,We are here because of the heros. We should alwway be thankful to them.,0
43,7,You are not worthy enough to fallow parth of heros. I cannot guide you.,0
43,8,Only brave and strong will guide you to parth of heros.,0
43,9,"<Exchange of there sacrifice, we have peaceful days. Heros gave us peaceful days...> I really like this song.",0
43,10,Come back after you have grown up.,0
43,11,Something is not right. I lost something. Where is my treasure?,0
44,0,"The one fallowing parth of heros, bravery and strong will follow him,",0
44,1,"You do not belong here, and I not the one should talk to, yet. Come back after you got more experience.",0
44,2,See the world with heart of hero. Than you will become hero.,0
45,0,"Accepting will of hero is easy but also hard, and not anyone can do it.",0
45,1,You are not ready yet. Come back after you got more experience.,0
45,2,You are the true hero. Bless for hero. Glory for hero.,0
48,0,Do you often go into this dungeon?,0
48,1,"Yes, I understand.",0
48,2,I see. The truth is I have been ask to fined evidence of problem in the dungeon. But I got thing to do in here. So will you find evidence for me?,0
48,3,"You are not as sensitive as you look. Anyway, if you found anything, please let me know.",0
48,4,Thank you. Please find evidence as soon as passible.,0
48,5,"Hmm, it will be good to help others time to time.",0
48,6,"If you go into this dungeon, I am pity monsters. (Only Lv 20 ~ 50 can do this dungeon quest.)",0
49,0,"If you accept it, Isruel might give you someting.",0
49,1,"If you cange mind, come back to be anytime.",0
49,2,Hello. Do you have a good time?,0
50,0,Would you help us to the end?,0
53,0,You have chose Acrobat. I hope you will never regret it. There is a simple test before starting the training. Are you ready?,0
53,1,I want to check if you did your best when you were vagrant. Go and hunt 40 Aibatts during 7 minutes,0
53,5,Good luck. Attention! Flyff!,0
53,6,Did you say that you do not choose Acrobat? Fine. Just keep in mind that you are the owner of the world whatever job you choose!,0
53,7,Fine. You passed the first training.,0
53,10,Hunt 40 during only 7 minutes. You will never become Acrobat if you cannot compelet even this!!,0
53,15,You have already chosen another path. I can no longer help you.,0
54,0,Good job. Now it is time for the next training.,0
54,1,"Get 10 Twinkle Stones which are in the eyes of Aibatt, 5 Peakyrinds which are back skin of Peakyturtle, 1 Slain which is the tail bone of Lawolf.",0
54,2,And go and find <Pyre> who is the Acrobat Master with the items you get. <Pyre> is nearby of the Request Center so you can find easily.,0
54,5,Good luck.,0
54,6,Do you like being a vagrant? Then I do not want to force you. But it is not that easy to catch a chance.,0
54,7,It seems like you passed the first training successfully since you brought these. Then I will let you know about the weapons. Acrobat uses 2 weapons like bow and yoyo.,0
54,8,Bow is a long distance attacking weapon. It consumes 1 arrow for 1 attack. Also there are 4 attacking steps and the damage of the next step is bigger than that of the former step.,0
54,9,Yoyo is the double discuses and you can hold it in both hands and attacking with both hands are also possible. The attacking is very splendid but there is no attacking step. So what do you think?,0
54,10,I think you should bring me something if you met <Hent>. He had to direct you something. Hmmâ€¦,0
55,0,Do you fully understand about the weapon now? Here is the next training. You know the High-Dwarpet. Sometimes they come to the <River of falling tear> for bathing.,0
55,1,But they loose things very open. These days <Tucani> asked to find out <Book of Technique> which he lost. Would you find and bring it to him instead of me?,0
55,2,He will tell you something when you bring him <Book of Technique>. Are you asking where you can find it? Of course in the <River of falling tear>.,0
55,5,Then have a nice day.,0
55,6,It seems like you do not know the attractiveness of Acrobat. I think it is too attractive to give up easily.,0
55,7,Oh! You brought me <Book of Technique>! Thanks. Thanks. Maybe <Pyre> asked of you. Anyway I want to give you a present to appreciate. Please listen.,0
55,8,Just remember that the Bow consums MP and the Yoyo consums FP. And there are 6 skills of Bow and 7 skills of Yoyo. Also there are 3 common skills and I will let you know <Dark Illusion> among of them.,0
55,9,This is a hiding skill. You can avoid the eyes of others with this. Sounds so cool right? But be careful because whenever you attack or use other skill it dose not work. Take this and keep it carefully.,0
55,10,It is surprising you come to meet me. What do you want? What? Did <Pyre> send you? Hmmâ€¦ then why are your hands empty?,0
56,0,So what do you think about the excellent skills of Acrobat? It is great right?,0
56,1,Now I will let you know about the next training. There is a <Shuraiture> guy who is really pain in the neck in nearby of the Darkon village entrence. And this guy isâ€¦ oh my neck hurtsâ€¦,0
56,2,Oh it is okay now. So this guy is harassing people in the village these days. Get and bring him to the trainer <Tailer>. He will be so pleased.,0
56,5,Good luck!,0
56,6,This is why I hate human being. They give up so easily!,0
56,7,Oh this note isâ€¦ and you also brought <Shuraiture>â€¦ You are really great. Thanks! He was a really pain in the neck. So now I will reward you since you passed the last test.,0
56,8,All of approaching/ in a middle distance/ in a long distance attack is possible for Acrobat. Also Acrobat can drag the enemy who is far away to in front of itself.,0
56,9,There is no job like Acrobat which has very various aspects. I hope you fully understand this job and never regret your choice through the trainings so far.,0
56,10,Is there any reason you come to me? Did <Tucani> send you? Hmmâ€¦ then why did you come?,0
57,0,Thank you for visiting here. But I am not sure whether you deserve to be a successor of Jester of not.,0
57,1,So there is one simple test. Hunt 20 Drillers in Darkon. Not small or captain one.,0
57,5,Show me your ability.,0
57,6,You cannot stand the rough and difficult way of the successor of Jester if you cannot pass even this simple test.,0
57,7,Good job. I recognize your ability.,0
57,10,Jest would never hold out your hand if you fail to hunt 20.,0
57,15,You do not deserve to be a successor of hero Jester.,0
58,0,Congratulation! You passed the test. Here is the letter of recommendation. Please go and find <Radion> who is the Jester Wise Man at the <Fountain of the Dead> in Flaris with it.,0
58,1,He is a different person with Great Wise Man <Radion>. He is Jester Wise Man <Radion>. Please don not forget and before thatâ€¦,0
58,2,You have to get <Ren> who lives in the <Fantastic Desert> in the north of Saint Morning and bring the ring which <Radion> lost.,0
58,5,Hope your dream come ture.,0
58,6,Do not you have the confidence? There is nothing impossible if you have the confidence. I hope you make wise choise.,0
58,7,Oh! Thank you very much for bringing me the ring! Actually this ring belongs to the Jester hero <Kerenen>. <Ren> wanted to have this ring all the time as I heard.,0
58,8,"After the war was ended and <Kerenen> dead, he was finding this ring for hundreds of years and finally found it a few years ago. Thank you anyway.",0
58,10,Have you met <Lorein>? Did not you bring anything to me even though you met her? Hmmâ€¦ There is something you should bring me. Think carefully.,0
59,0,Thank you again for the ring. And there is someone you should meet.,0
59,1,Go and find <Pepoview> troupe in the Saint Morning and find a member whose name is <Clockkeble> with this ring. You can get something very useful.,0
