questid,queststate,itemid,itemnumber,actiontype
1,5,8008,1,5
3,3,6023,10,3
3,3,6023,10,3
3,3,6023,10,3
3,3,8010,1,5
4,4,6022,1,5
4,5,8011,1,5
7,0,6005,20,3
8,0,6038,20,3
8,0,60,1,5
8,1,6038,20,3
8,1,60,1,5
8,2,6038,20,3
8,2,60,1,5
13,0,6006,50,3
13,0,8504,1,5
13,0,8504,1,5
13,0,8504,1,5
13,0,8504,1,5
14,0,6009,20,3
15,0,6007,20,3
16,0,6008,1,3
17,0,6010,10,3
17,0,34,1,5
17,0,34,1,5
17,0,34,1,5
17,0,34,1,5
18,0,6012,1,3
18,1,6012,1,3
18,2,6012,1,3
19,0,6026,20,3
20,0,6025,25,3
20,0,8500,1,5
20,0,8500,1,5
21,0,6039,15,3
21,0,8502,1,5
21,0,8502,1,5
21,1,6039,15,3
21,1,8502,1,5
21,1,8502,1,5
21,2,6039,15,3
21,2,8502,1,5
21,2,8502,1,5
22,0,6031,1,3
22,0,6031,1,3
22,0,4801,1,5
22,1,6031,1,3
22,1,6031,1,3
22,1,4801,1,5
23,0,6033,10,3
24,0,6034,15,3
24,0,2827,5,5
24,0,2827,5,5
25,0,6040,6,3
25,0,6035,1,5
26,0,6041,8,3
26,0,6036,1,5
27,0,6043,1,3
27,0,6037,1,5
27,1,6043,1,3
27,1,6037,1,5
28,0,6044,20,3
28,0,6045,1,5
29,0,6046,1,3
29,1,6046,1,3
30,0,6047,10,3
31,0,6049,3,3
31,0,2808,5,5
31,0,2808,5,5
31,1,6049,3,3
31,1,2808,5,5
31,1,2808,5,5
31,2,6049,3,3
31,2,2808,5,5
31,2,2808,5,5
32,0,6050,1,3
32,0,38,1,5
32,0,38,1,5
32,0,38,1,5
32,0,38,1,5
32,0,38,1,5
32,1,6050,1,3
32,1,38,1,5
32,1,38,1,5
32,1,38,1,5
32,1,38,1,5
32,1,38,1,5
32,2,6050,1,3
32,2,38,1,5
32,2,38,1,5
32,2,38,1,5
32,2,38,1,5
32,2,38,1,5
33,0,6052,1,3
33,1,6052,1,3
34,0,6055,1,5
34,1,6055,1,5
34,2,6055,1,5
34,3,6055,1,5
34,4,6055,1,5
35,0,6054,1,3
35,0,5102,1,5
35,1,6054,1,3
35,1,5102,1,5
35,2,6054,1,3
35,2,5102,1,5
36,0,6056,10,3
37,0,6057,1,3
37,1,6057,1,3
38,0,6058,1,3
38,0,2567,1,5
40,0,6059,1,3
40,0,6059,1,3
40,0,6059,1,3
40,0,6062,1,5
40,1,6059,1,3
40,1,6059,1,3
40,1,6059,1,3
40,1,6062,1,5
40,2,6059,1,3
40,2,6059,1,3
40,2,6059,1,3
40,2,6062,1,5
40,3,6059,1,3
40,3,6059,1,3
40,3,6059,1,3
40,3,6062,1,5
40,4,6059,1,3
40,4,6059,1,3
40,4,6059,1,3
40,4,6062,1,5
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
44,0,10249,1,1
44,0,10250,1,3
44,0,10250,1,3
44,0,10250,1,3
44,1,10249,1,1
44,1,10250,1,3
44,1,10250,1,3
44,1,10250,1,3
44,2,10249,1,1
44,2,10250,1,3
44,2,10250,1,3
44,2,10250,1,3
45,0,10253,1,1
45,0,10254,1,3
53,0,4803,1,5
